spacing_D,wd_deg,ws_m_per_s,TI_per,VS,yaw_deg,power_demand_per,SAWS,SATI
4,0.0,6,0.1,0.1,"[30.0, 20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.03548376 4.3092206
 4.77711272 5.40413411 5.11444186 4.62507983 4.87471769 5.30016441]","[0.11329222 0.11540112 0.12311195 0.11291161 0.20633402 0.24985547
 0.22804346 0.17506545 0.18267091 0.21100248 0.20566252 0.17059325]"
4,8.0,6,0.1,0.1,"[-30.0, -20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.00809879 4.23079495
 4.64792889 5.32940788 5.12073362 4.53984641 4.72296879 5.28647056]","[0.12113741 0.11166301 0.10876774 0.11063799 0.20252189 0.23085816
 0.18201674 0.15964021 0.17002634 0.18593421 0.16650788 0.15321989]"
4,8.0,6,0.1,0.1,"[-30.0, -20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.00809879 4.23079495
 4.64792889 5.32940788 5.12073362 4.53984641 4.72296879 5.28647056]","[0.12113741 0.11166301 0.10876774 0.11063799 0.20252189 0.23085816
 0.18201674 0.15964021 0.17002634 0.18593421 0.16650788 0.15321989]"
4,8.0,6,0.1,0.1,"[-30.0, 0.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.00809879 4.23079495
 4.64792889 5.32940788 5.21632174 4.44049067 4.87218202 5.54585675]","[0.12113741 0.11166301 0.10876774 0.11063799 0.17289641 0.19834541
 0.16714639 0.14947665 0.16181438 0.18408375 0.16289027 0.14567534]"
4,8.0,6,0.1,0.1,"[-30.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.00809879 4.23079495
 4.64792889 5.32940788 5.21632174 4.44049067 4.87218202 5.54585675]","[0.12113741 0.11166301 0.10876774 0.11063799 0.17289641 0.19834541
 0.16714639 0.14947665 0.16181438 0.18408375 0.16289027 0.14567534]"
4,8.0,6,0.1,0.1,"[-30.0, 20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.00809879 4.23079495
 4.64792889 5.32940788 5.55942736 4.90083052 5.21735341 5.75850492]","[0.12113741 0.11166301 0.10876774 0.11063799 0.17259785 0.19717536
 0.17949087 0.15397567 0.15025209 0.16947344 0.1550984  0.14065921]"
4,8.0,6,0.1,0.1,"[-30.0, 20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.00809879 4.23079495
 4.64792889 5.32940788 5.55942736 4.90083052 5.21735341 5.75850492]","[0.12113741 0.11166301 0.10876774 0.11063799 0.17259785 0.19717536
 0.17949087 0.15397567 0.15025209 0.16947344 0.1550984  0.14065921]"
4,8.0,6,0.1,0.1,"[0.0, -20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.34107489 4.39837621
 5.02700617 5.75300749 5.17738012 4.47900639 4.82611548 5.44649807]","[0.10054274 0.10101483 0.10133917 0.10037304 0.17095877 0.19334451
 0.15885744 0.14274174 0.16561713 0.18501001 0.16276095 0.14799556]"
4,8.0,6,0.1,0.1,"[0.0, -20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.34107489 4.39837621
 5.02700617 5.75300749 5.17738012 4.47900639 4.82611548 5.44649807]","[0.10054274 0.10101483 0.10133917 0.10037304 0.17095877 0.19334451
 0.15885744 0.14274174 0.16561713 0.18501001 0.16276095 0.14799556]"
4,8.0,6,0.1,0.1,"[0.0, 0.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.34107489 4.39837621
 5.02700617 5.75300749 5.39408281 4.6406698  5.07905945 5.70112785]","[0.10054274 0.10101483 0.10133917 0.10037304 0.15519125 0.18310082
 0.15682766 0.13827553 0.15495553 0.1755587  0.15675507 0.14143328]"
4,8.0,6,0.1,0.1,"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.34107489 4.39837621
 5.02700617 5.75300749 5.39408281 4.6406698  5.07905945 5.70112785]","[0.10054274 0.10101483 0.10133917 0.10037304 0.15519125 0.18310082
 0.15682766 0.13827553 0.15495553 0.1755587  0.15675507 0.14143328]"
4,8.0,6,0.1,0.1,"[0.0, 20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.34107489 4.39837621
 5.02700617 5.75300749 5.75588504 5.19028172 5.41274165 5.88373655]","[0.10054274 0.10101483 0.10133917 0.10037304 0.16352868 0.20074662
 0.17562099 0.1451477  0.14457102 0.16113922 0.15044221 0.13768166]"
4,8.0,6,0.1,0.1,"[0.0, 20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.34107489 4.39837621
 5.02700617 5.75300749 5.75588504 5.19028172 5.41274165 5.88373655]","[0.10054274 0.10101483 0.10133917 0.10037304 0.16352868 0.20074662
 0.17562099 0.1451477  0.14457102 0.16113922 0.15044221 0.13768166]"
4,8.0,6,0.1,0.1,"[30.0, -20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.96247945 5.52134775
 5.60030382 5.96370856 5.21900754 4.38007464 4.9175271  5.60865969]","[0.11329222 0.11540112 0.12311195 0.11291161 0.12539366 0.12805941
 0.12205088 0.1183819  0.16186829 0.18596922 0.15928353 0.14235802]"
4,8.0,6,0.1,0.1,"[30.0, -20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.96247945 5.52134775
 5.60030382 5.96370856 5.21900754 4.38007464 4.9175271  5.60865969]","[0.11329222 0.11540112 0.12311195 0.11291161 0.12539366 0.12805941
 0.12205088 0.1183819  0.16186829 0.18596922 0.15928353 0.14235802]"
4,8.0,6,0.1,0.1,"[30.0, 0.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.96247945 5.52134775
 5.60030382 5.96370856 5.55978942 4.82913909 5.24256566 5.82403934]","[0.11329222 0.11540112 0.12311195 0.11291161 0.12042276 0.13357219
 0.12762858 0.11743335 0.1484541  0.16825297 0.15191538 0.13747567]"
4,8.0,6,0.1,0.1,"[30.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.96247945 5.52134775
 5.60030382 5.96370856 5.55978942 4.82913909 5.24256566 5.82403934]","[0.11329222 0.11540112 0.12311195 0.11291161 0.12042276 0.13357219
 0.12762858 0.11743335 0.1484541  0.16825297 0.15191538 0.13747567]"
4,8.0,6,0.1,0.1,"[30.0, 20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.96247945 5.52134775
 5.60030382 5.96370856 5.88619913 5.39427369 5.5286821  5.93788339]","[0.11329222 0.11540112 0.12311195 0.11291161 0.13359531 0.15397722
 0.14836641 0.12755592 0.12786637 0.14331258 0.13591949 0.12380697]"
4,8.0,6,0.1,0.1,"[30.0, 20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 5.96247945 5.52134775
 5.60030382 5.96370856 5.88619913 5.39427369 5.5286821  5.93788339]","[0.11329222 0.11540112 0.12311195 0.11291161 0.13359531 0.15397722
 0.14836641 0.12755592 0.12786637 0.14331258 0.13591949 0.12380697]"
6,-8.0,6,0.1,0.1,"[-30.0, -20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 6.09632994 5.97684257
 5.74651794 5.86339379 6.05291604 5.96736275 5.70714565 5.77552628]","[0.12113741 0.11166301 0.10876774 0.11063799 0.12191115 0.11166226
 0.11003778 0.11632813 0.1158925  0.11352455 0.11463494 0.11726762]"
6,-8.0,6,0.1,0.1,"[-30.0, -20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 6.09632994 5.97684257
 5.74651794 5.86339379 6.05291604 5.96736275 5.70714565 5.77552628]","[0.12113741 0.11166301 0.10876774 0.11063799 0.12191115 0.11166226
 0.11003778 0.11632813 0.1158925  0.11352455 0.11463494 0.11726762]"
6,-8.0,6,0.1,0.1,"[-30.0, 0.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 6.09632994 5.97684257
 5.74651794 5.86339379 5.87768303 5.90889122 5.53084193 5.43601993]","[0.12113741 0.11166301 0.10876774 0.11063799 0.10604401 0.10430632
 0.10471842 0.10639045 0.13284948 0.12857248 0.13340542 0.13927856]"
6,-8.0,6,0.1,0.1,"[-30.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 6.09632994 5.97684257
 5.74651794 5.86339379 5.87768303 5.90889122 5.53084193 5.43601993]","[0.12113741 0.11166301 0.10876774 0.11063799 0.10604401 0.10430632
 0.10471842 0.10639045 0.13284948 0.12857248 0.13340542 0.13927856]"
6,-8.0,6,0.1,0.1,"[-30.0, 20.0, 0.0]","[0.6, 0.6, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 6.09632994 5.97684257
 5.74651794 5.86339379 5.61267945 5.76100015 5.29523368 5.07277734]","[0.12113741 0.11166301 0.10876774 0.11063799 0.1086336  0.11076964
 0.11600669 0.10949408 0.13942498 0.13236365 0.14095935 0.15057815]"
6,-8.0,6,0.1,0.1,"[-30.0, 20.0, 0.0]","[1.0, 1.0, 1.0]","[6.15734472 5.98361998 5.79351522 5.98361998 6.09632994 5.97684257
 5.74651794 5.86339379 5.61267945 5.76100015 5.29523368 5.07277734]","[0.12113741 0.11166301 0.10876774 0.11063799 0.1086336  0.11076964
 0.11600669 0.10949408 0.13942498 0.13236365 0.14095935 0.15057815]"
